id_inconsistencia	cod_barra	columna	valor	nuevo_valor	estado_revision	departamento	compuesta	compuesta_values	id_usuario
11	762010958401	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LAMBAYEQUE	0		
11	762010062401	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	CAJAMARCA	0		
11	762010424801	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LORETO	0		
11	762011066701	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""1""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LAMBAYEQUE	0		
11	762010501601	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	AMAZONAS	0		
11	762010343201	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""2""}, ""docente_grados_disponibles"": {""doc_grado_1"": ""1"", ""doc_grado_2"": ""1"", ""doc_grado_3"": ""1"", ""doc_grado_5"": ""1"", ""doc_grado_6"": ""1""}}"		0	CAJAMARCA	0		
11	762010288101	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""2""}, ""docente_grados_disponibles"": {""doc_grado_1"": ""1"", ""doc_grado_2"": ""1"", ""doc_grado_3"": ""1"", ""doc_grado_5"": ""1"", ""doc_grado_6"": ""1""}}"		0	PUNO	0		
11	762011986001	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""1""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LIMA	0		
11	762012302701	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LIMA	0		
11	762010221601	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""1""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	UCAYALI	0		
11	762010395601	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LORETO	0		
11	762010534701	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""1""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	HUÁNUCO	0		
11	762010634201	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""1""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	SAN MARTÍN	0		
11	762012084301	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LIMA	0		
11	762010420301	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	LORETO	0		
11	762011771901	"{""docente_comparte_grados"": [""doc10""], ""docente_grados_disponibles"": [""doc_grado_1"", ""doc_grado_2"", ""doc_grado_3"", ""doc_grado_5"", ""doc_grado_6""]}"	"{""docente_comparte_grados"": {""doc10"": ""M""}, ""docente_grados_disponibles"": {""doc_grado_1"": """", ""doc_grado_2"": """", ""doc_grado_3"": """", ""doc_grado_5"": """", ""doc_grado_6"": """"}}"		0	ICA	0		
